Locality	Unit 	Sample_ID	Age	Reference	d18O	Reference	SiO2	Reference	Lithology	
Trans Hudson	55 24 11 N - 102 27 30 W 	HUD86-18 	1842	80	6.42	0			Biotite granodiorite	
Trans Hudson	57 22 50 N - 102 25 58 W 	HUD85-25A 	2597	81	6.09	0			Megacrystic tonalite gneiss	
Trans Hudson	57 22 50 N - 103 38 22 W 	HUD91-23 	2580	13	5.07	0			Megacrystic granite	
Ukranian Shield	Yastrebetsk 	23C 	1720	14	4.8	14			Zircon vein	
Ukranian Shield	Chemigorskaya 	865/971 	2060	14	5.8	14			Carbonatite	
Ukranian Shield	Rossinski-Tikicheski Region - Telezhintsy 	T-3t 	2695	14	6	14			Gabbro	
Ukranian Shield	Litin-Berdichevskiy Complex 	9 8 0 / 6 4 	2000	14	5.8	14			Granite aplitic to pegmatitic	
Ukranian Shield	Kirovgradsko-Zhitomirskiy Complex - Raiyki 	1 1 1 / 6 2 	2000	14	6	14			Granite aplitic to pegmatitic	
Ukranian Shield	Dnyestrovsko-Dimitrovka - Karber 	E-31 	1950	14	6	14			Two-pyroxene gabbro	
Ukranian Shield	Rossinski-Tikicheski Region - Korsunka 	K-1-1 	2150	14	7.2	14			Quartz diorite	
Ukranian Shield	Rossinski-Tikicheski Region - Korsunka 	K-1-4 	2100	14	7.8	14			Granodiorite	
Ukranian Shield	Ingulo - Checheleyevka 	5115	1990	14	7.6	14			Aplitic to pegmatitic granite	
Ukranian Shield	Severo-Zapanyi Region - Malin 	CTU-5 	1950	14	7.7	14			Rapakivi granite	
Ukranian Shield	Severo-Zapanyi Region - Malin 	T-33 	2620	14	8	14			Pink granite	
Ukranian Shield	Priazoviy Dimitrovka - Karber 	1050	1935	14	7	14			Albitite (alkaline)	
Arunta Block - Australia 	Yaningidjara 	Z2033 	1806	15	7.84	0			Deformed megacrystic granite	
N. Australia 		95SB11 	1858	16	7.98	0			Psammitic gneiss	
N. Australia 		95SB12 	1837	17	7	0			Monzongranite	
N. Australia 		95SB41 	1831	17	6.06	0			Granodiorite	
N. Australia 		95SB42 	1826	17	6.32	0			Microgranodiorite	
N. Australia 		97SB125 	1840	18	7.46	0			Detrital zircons	
Wisconsin	Mosinee 	VS73-18 	1860	19	5	0			Tonalite	
Wisconsin	Flynn's Quarry 	VS87-14 	1760	19	5.15	0			Granite	
Finland	Lavia 	A1290 	1870	20	7.6	22	61.5	20	Granite	
Finland	Honkajoki 	A588 	1870	20	5.5	22	74.7	20	Granite	
Finland	Puula 	A922 	1875	20	7.78	22	64.5	20	Granite	
Finland	Honkajoki 	A1358 	1876	20	6.46	22	70.1	20	Granite	
Finland	Parkano 	A1531 	1851	20	5.9	22	75.5	20	Granite	
Finland	Muurame 	A1426 	1885	20	6.59	22	69	20	Granite	
Finland	Jamsa 	A1427 	1879	20	6.39	22	65.5	20	Granite	
Finland	Rautalampi 	A218 	1885	20	7.71	22	56.1	20	Granite	
